Id,y
50100,1.93872
50101,2.23536
50102,1.59856
50103,2.27099
50104,1.64687
50105,1.56243
50106,2.03197
50107,2.35351
50108,1.96521
50109,1.84516
50110,1.63618
50111,1.69948
50112,1.78688
50113,1.76982
50114,1.63923
50115,1.94273
50116,1.51892
50117,1.88599
50118,1.97964
50119,1.69317
50120,2.05394
50121,2.30498
50122,1.26224
50123,1.97515
50124,1.65152
50125,2.23539
50126,1.59472
50127,1.95834
50128,1.52111
50129,1.85254
50130,2.02120
50131,2.07916
50132,1.63092
50133,1.75860
50134,1.91739
50135,2.25535
50136,1.57186
50137,1.98833
50138,1.84798
50139,2.05078
50140,2.12791
50141,2.40756
50142,1.92508
50143,1.68467
50144,1.92956
50145,2.14947
50146,1.60031
50147,2.28038
50148,1.97306
50149,1.68593
50150,1.46041
50151,1.65601
50152,1.86688
50153,2.05840
50154,1.81721
50155,2.15316
50156,2.09300
50157,1.45649
50158,2.44324
50159,1.30958
50160,1.59056
50161,2.21821
50162,2.20323
50163,2.05371
50164,1.73346
50165,1.56238
50166,1.47637
50167,1.87074
50168,1.69428
50169,1.30323
50170,1.86577
50171,2.13581
50172,1.57509
50173,1.95282
50174,2.11633
50175,1.49114
50176,2.31030
50177,2.18134
50178,2.07753
50179,1.96293
50180,2.09231
50181,1.84024
50182,1.98639
50183,1.63867
50184,2.23363
50185,1.70943
50186,2.01714
50187,2.15370
50188,2.04861
50189,2.16462
50190,2.42080
50191,2.04242
50192,2.07362
50193,1.99100
50194,1.89614
50195,1.76646
50196,1.96647
50197,1.79185
50198,2.19130
50199,2.32138
50200,1.74562
50201,2.46673
50202,1.53598
50203,1.69671
50204,1.74713
50205,1.38034
50206,1.87025
50207,2.09602
50208,1.77019
50209,1.53529
50210,2.03068
50211,1.47933
50212,2.02700
50213,2.29802
50214,1.93656
50215,1.44426
50216,1.46954
50217,1.77056
50218,1.91118
50219,2.12946
50220,2.31929
50221,2.24002
50222,2.12112
50223,1.94559
50224,1.46678
50225,2.30356
50226,1.74735
50227,2.13009
50228,1.76385
50229,1.96318
50230,1.76824
50231,1.87337
50232,2.11858
50233,2.35952
50234,1.76811
50235,1.42299
50236,1.79433
50237,1.60060
50238,1.77810
50239,2.17837
50240,2.19772
50241,1.35532
50242,2.19270
50243,1.88868
50244,1.55334
50245,1.64684
50246,2.25375
50247,1.35564
50248,2.42138
50249,2.24443
50250,2.17602
50251,1.83388
50252,2.20399
50253,2.04551
50254,1.69413
50255,1.76243
50256,2.18825
50257,1.94636
50258,1.78517
50259,2.15496
50260,1.25981
50261,2.09254
50262,1.77970
50263,2.05200
50264,1.46450
50265,1.75725
50266,1.77670
50267,2.32146
50268,1.94568
50269,1.60218
50270,2.31820
50271,2.02156
50272,2.12347
50273,2.32585
50274,2.09577
50275,1.49836
50276,2.40995
50277,1.81917
50278,1.50245
50279,1.78707
50280,2.03334
50281,1.49141
50282,2.27993
50283,2.18217
50284,1.83492
50285,1.61960
50286,1.73822
50287,2.62315
50288,2.25166
50289,1.65685
50290,2.01149
50291,2.35024
50292,1.62557
50293,2.20770
50294,1.69441
50295,1.86233
50296,2.52297
50297,1.62510
50298,1.93406
50299,2.31311
50300,1.68250
50301,1.97991
50302,2.23539
50303,2.03507
50304,1.66301
50305,1.20178
50306,1.38072
50307,1.86919
50308,2.13609
50309,1.45133
50310,2.23513
50311,1.79891
50312,2.33144
